sample,density,algorithm,averageTimeInNanoseconds
4,100,BruteForce,1542
4,100,BranchAndBound,11067
4,100,Dynamic,1591
5,100,BruteForce,1796
5,100,BranchAndBound,30431
5,100,Dynamic,2074
6,100,BruteForce,3203
6,100,BranchAndBound,97578
6,100,Dynamic,3883
7,100,BruteForce,15133
7,100,BranchAndBound,275413
7,100,Dynamic,6775
8,100,BruteForce,79285
8,100,BranchAndBound,1025526
8,100,Dynamic,19073
9,100,BruteForce,719395
9,100,BranchAndBound,1708451
9,100,Dynamic,48287
10,100,BruteForce,6872248
10,100,BranchAndBound,4491704
10,100,Dynamic,118852
11,100,BruteForce,75342369
11,100,BranchAndBound,11192067
11,100,Dynamic,281007
12,100,BruteForce,877545792
12,100,BranchAndBound,24715616
12,100,Dynamic,664210
13,100,BruteForce,11748548910
13,100,BranchAndBound,61437340
13,100,Dynamic,1543670
