sample,coolingRatio,expTk,timeLimit,optimalSolutionTime,optimalSolutionValue,bestKnownSolution,relativeError,initialTemp,finalTemp
ftv55.atsp,9.99999989999999950e-01,9.98302703244229872e-01,60,60000,7514,1608,3.67288557213930346e+02,1.02904521309074953e+04,5.88672020937664456e+02
ftv55.atsp,9.99999749999999965e-01,0.00000000000000000e+00,60,59999,1722,1608,7.08955223880596996e+00,1.02319764731218656e+04,1.10472807344383036e-24
ftv55.atsp,9.99999250000000006e-01,0.00000000000000000e+00,60,59999,1861,1608,1.57338308457711431e+01,1.03278837158299957e+04,4.10428734347646589e-79
ftv170.atsp,9.99999989999999950e-01,9.97926908656368461e-01,120,120000,24291,2755,7.81705989110707833e+02,1.26356971399872891e+04,4.81871239722702683e+02
ftv170.atsp,9.99999749999999965e-01,0.00000000000000000e+00,120,119998,3724,2755,3.51724137931034448e+01,1.29139365979279683e+04,1.52283209602679087e-29
ftv170.atsp,9.99999250000000006e-01,0.00000000000000000e+00,120,119999,3777,2755,3.70961887477313965e+01,1.30504693486739961e+04,8.43747134291365428e-96
rbg358.atsp,9.99999989999999950e-01,9.73023067791017438e-01,240,240000,6374,1163,4.48065348237317266e+02,1.59211594848596883e+03,3.65664282261580951e+01
rbg358.atsp,9.99999749999999965e-01,0.00000000000000000e+00,240,239999,1250,1163,7.48065348237317274e+00,1.57775821934105375e+03,2.36777450311756253e-37
rbg358.atsp,9.99999250000000006e-01,0.00000000000000000e+00,240,239999,1348,1163,1.59071367153912284e+01,1.58696189186984543e+03,7.90617283567042379e-117
ftv55.atsp,9.99999989999999950e-01,9.98274124210487113e-01,60,60000,6695,1608,3.16355721393034798e+02,1.04354920600450023e+04,5.78915829135203580e+02
ftv55.atsp,9.99999749999999965e-01,0.00000000000000000e+00,60,59999,1677,1608,4.29104477611940283e+00,1.04349448146513987e+04,1.19544913722531972e-24
ftv55.atsp,9.99999250000000006e-01,0.00000000000000000e+00,60,59999,1854,1608,1.52985074626865671e+01,1.02143651213640678e+04,1.75621949944072229e-79
ftv170.atsp,9.99999989999999950e-01,9.97997903806523201e-01,120,119999,25045,2755,8.09074410163339394e+02,1.27726776369644504e+04,4.98976333300527472e+02
ftv170.atsp,9.99999749999999965e-01,0.00000000000000000e+00,120,119999,3545,2755,2.86751361161524514e+01,1.27830852493591701e+04,8.45209923231140670e-30
ftv170.atsp,9.99999250000000006e-01,0.00000000000000000e+00,120,119999,3703,2755,3.44101633393829403e+01,1.29781135577233254e+04,1.18802909912118356e-95
rbg358.atsp,9.99999989999999950e-01,9.74188262813155403e-01,240,239999,6164,1163,4.30008598452278591e+02,1.62520936992462885e+03,3.82398858049543549e+01
rbg358.atsp,9.99999749999999965e-01,0.00000000000000000e+00,240,239999,1253,1163,7.73860705073086841e+00,1.60625477947344189e+03,7.94770445572688702e-37
rbg358.atsp,9.99999250000000006e-01,0.00000000000000000e+00,240,239999,1280,1163,1.00601891659501277e+01,1.59725010526959750e+03,1.26952111853487478e-113
ftv55.atsp,9.99999989999999950e-01,9.98351857756139771e-01,60,60000,7227,1608,3.49440298507462671e+02,1.04013538974003714e+04,6.06243609160007850e+02
ftv55.atsp,9.99999749999999965e-01,0.00000000000000000e+00,60,59999,1857,1608,1.54850746268656714e+01,1.03883294570325997e+04,5.08451120481814451e-24
ftv55.atsp,9.99999250000000006e-01,0.00000000000000000e+00,60,59999,1757,1608,9.26616915422885512e+00,1.02794674233704300e+04,1.07093510481970643e-78
ftv170.atsp,9.99999989999999950e-01,9.97985347398469336e-01,120,120000,24727,2755,7.97531760435571755e+02,1.28691321250661858e+04,4.95863323713295927e+02
ftv170.atsp,9.99999749999999965e-01,0.00000000000000000e+00,120,119999,3604,2755,3.08166969147005432e+01,1.28511227766584962e+04,2.25796727045574322e-29
ftv170.atsp,9.99999250000000006e-01,0.00000000000000000e+00,120,119999,3890,2755,4.11978221415607990e+01,1.28727837443289609e+04,2.00143738142654874e-94
rbg358.atsp,9.99999989999999950e-01,9.76515914106813709e-01,240,239999,6550,1163,4.63198624247635394e+02,1.61020489622363675e+03,4.20800475357784833e+01
rbg358.atsp,9.99999749999999965e-01,0.00000000000000000e+00,240,239999,1250,1163,7.48065348237317274e+00,1.59052396188639409e+03,1.23761588490443157e-36
rbg358.atsp,9.99999250000000006e-01,0.00000000000000000e+00,240,239999,1292,1163,1.10920034393809104e+01,1.56205725150274793e+03,1.29500426647649803e-114
