sample,timeLimit,strategy,optimalSolutionTime,optimalSolutionValue,bestKnownSolution,relativeError
ftv55.atsp,60,swap,19,1724,1608,7.21393034825870672
ftv55.atsp,60,insert,8,1669,1608,3.79353233830845760
ftv55.atsp,60,reverse,44,1887,1608,17.35074626865671732
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
ftv170.atsp,120,reverse,0,3536,2755,28.34845735027223412
rbg358.atsp,240,swap,48,1342,1163,15.39122957867583885
rbg358.atsp,240,insert,7,1369,1163,17.71281169389510168
rbg358.atsp,240,reverse,0,1732,1163,48.92519346517627099
ftv55.atsp,60,swap,47,1781,1608,10.75870646766169081
ftv55.atsp,60,insert,26,1673,1608,4.04228855721393110
ftv55.atsp,60,reverse,19,1886,1608,17.28855721393034628
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
ftv170.atsp,120,reverse,0,3536,2755,28.34845735027223412
rbg358.atsp,240,swap,164,1353,1163,16.33705932932072002
rbg358.atsp,240,insert,7,1369,1163,17.71281169389510168
rbg358.atsp,240,reverse,0,1732,1163,48.92519346517627099
ftv55.atsp,60,swap,18,1784,1608,10.94527363184079682
ftv55.atsp,60,insert,44,1658,1608,3.10945273631840813
ftv55.atsp,60,reverse,0,1888,1608,17.41293532338308481
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
ftv170.atsp,120,reverse,0,3536,2755,28.34845735027223412
rbg358.atsp,240,swap,175,1366,1163,17.45485812553740246
rbg358.atsp,240,insert,7,1369,1163,17.71281169389510168
rbg358.atsp,240,reverse,0,1732,1163,48.92519346517627099
ftv55.atsp,60,swap,0,1806,1608,12.31343283582089576
ftv55.atsp,60,insert,32,1699,1608,5.65920398009950265
ftv55.atsp,60,reverse,28,1887,1608,17.35074626865671732
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
ftv170.atsp,120,reverse,0,3536,2755,28.34845735027223412
rbg358.atsp,240,swap,161,1353,1163,16.33705932932072002
rbg358.atsp,240,insert,7,1369,1163,17.71281169389510168
rbg358.atsp,240,reverse,0,1732,1163,48.92519346517627099
ftv55.atsp,60,swap,35,1765,1608,9.76368159203980035
ftv55.atsp,60,insert,4,1683,1608,4.66417910447761219
ftv55.atsp,60,reverse,0,1887,1608,17.35074626865671732
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
ftv170.atsp,120,reverse,0,3536,2755,28.34845735027223412
rbg358.atsp,240,swap,162,1374,1163,18.14273430782459329
rbg358.atsp,240,insert,7,1369,1163,17.71281169389510168
rbg358.atsp,240,reverse,0,1732,1163,48.92519346517627099
ftv55.atsp,60,swap,7,1790,1608,11.31840796019900530
ftv55.atsp,60,insert,8,1645,1608,2.30099502487562191
ftv55.atsp,60,reverse,46,1887,1608,17.35074626865671732
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
ftv170.atsp,120,reverse,0,3536,2755,28.34845735027223412
rbg358.atsp,240,swap,2,1393,1163,19.77644024075666351
rbg358.atsp,240,insert,7,1369,1163,17.71281169389510168
rbg358.atsp,240,reverse,0,1732,1163,48.92519346517627099
ftv55.atsp,60,swap,0,1806,1608,12.31343283582089576
ftv55.atsp,60,insert,40,1649,1608,2.54975124378109452
ftv55.atsp,60,reverse,54,1878,1608,16.79104477611940283
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
ftv170.atsp,120,reverse,0,3536,2755,28.34845735027223412
rbg358.atsp,240,swap,115,1364,1163,17.28288907996560653
rbg358.atsp,240,insert,7,1369,1163,17.71281169389510168
rbg358.atsp,240,reverse,0,1732,1163,48.92519346517627099
ftv55.atsp,60,swap,42,1774,1608,10.32338308457711484
ftv55.atsp,60,insert,39,1669,1608,3.79353233830845760
ftv55.atsp,60,reverse,6,1887,1608,17.35074626865671732
ftv170.atsp,120,swap,0,3382,2755,22.75862068965517437
ftv170.atsp,120,insert,0,3369,2755,22.28675136116152444
